Year,State,State.abb,Age,Gender,New_heart_disease_crude_value,New_teeth_removal_value,New_dental_visit_value,New_grocery_stores_value,New_supercenter_value,New_convenience_stores_value,New_fastfood_restaurant_value,New_fullservice_restaurant_value,New_foodinsecurity_value,New_farmersmarket_value
1999,Georgia,GA,55-64,Female,289.1,44.4,68,844.09,57.65,1782.82,1203.56,1819.52,9.80,543.68
1999,Georgia,GA,55-64,Male,557.2,44.4,68,511.78,65.28,3776.28,2992.94,3642.85,9.80,538.26
1999,Georgia,GA,65-74,Male,1394.8,44.4,68,914.05,70.74,5202.2,4272.88,4947.07,9.80,530.28
1999,Georgia,GA,85+,Female,7804.6,44.4,68,787.26,69.02,4752.78,3869.47,4536.02,9.80,519.94
1999,Georgia,GA,75-84,Female,2368.2,44.4,68,660.07,67.3,4301.92,3464.77,4123.63,9.78,507.46
1999,Georgia,GA,45-54,Female,92,44.4,68,685.97,67.65,4393.72,3547.17,4207.6,9.83,493.07
1999,Hawaii,HI,75-84,Male,2413.1,56.2,77,724.85,68.17,4531.54,3670.88,4333.65,9.78,476.97
1999,Hawaii,HI,85+,Male,7360.8,56.2,77,720.52,68.12,4516.19,3657.1,4319.61,9.64,459.38
1999,Hawaii,HI,45-54,Female,67,56.2,77,708.98,67.96,4475.32,3620.42,4282.23,11.48,440.52
1999,Hawaii,HI,65-74,Male,1004.7,56.2,77,709.32,67.97,4476.55,3621.54,4283.36,12.45,420.6
1999,Hawaii,HI,85+,Female,5798.6,56.2,77,712.66,68.01,4488.28,3632.02,4294.08,12.13,399.84
1999,Hawaii,HI,55-64,Male,450.2,56.2,77,712.82,68,4488.75,3632.37,4294.48,12.21,378.46
1999,Hawaii,HI,65-74,Female,503.8,56.2,77,711.87,68,4485.65,3629.74,4291.7,12.20,356.67
1999,Hawaii,HI,35-44,Male,59.4,56.2,77,711.73,68.02,4485.65,3630.06,4291.81,12.20,334.68
